scope,run_id,variant,quantizer,base_bit_len,ext_bit_len,code_bits_per_dim,top_k,search_range,run_count,qps,qps_min,qps_max,recall_at_k,recall_min,recall_max,avg_us,p50_us,p90_us,p95_us,p99_us,rounds,warmup_queries,base_count,query_count,dim,build_seconds,save_seconds,total_build_seconds,index_bytes,search_max_rss_kib,build_max_rss_kib,thread_count,link_range,link_candidate_size,build_iter_count,batch_size_mb,rotator_type,source_search_csv,source_build_csv
aggregate,ALL,erq9,erq,1,8,9,10,40,1,21149.56716,21149.56716,21149.56716,0.86742,0.86742,0.86742,47.282292,46.783,52.224,54.444,59.565,5,1000,1000000,10000,128,133.054806,5.858701,139.355033,1065066566,1127232,4891316,16,32,300,3,1024,0,,
aggregate,ALL,erq9,erq,1,8,9,10,50,1,17655.32024,17655.32024,17655.32024,0.89519,0.89519,0.89519,56.640151,56.154,61.885,64.125,69.186,5,1000,1000000,10000,128,133.054806,5.858701,139.355033,1065066566,1127232,4891316,16,32,300,3,1024,0,,
aggregate,ALL,erq9,erq,1,8,9,10,75,1,12683.79605,12683.79605,12683.79605,0.93365,0.93365,0.93365,78.840751,78.386,84.636,86.996,92.497,5,1000,1000000,10000,128,133.054806,5.858701,139.355033,1065066566,1127232,4891316,16,32,300,3,1024,0,,
aggregate,ALL,erq9,erq,1,8,9,10,100,1,9923.182536,9923.182536,9923.182536,0.95223,0.95223,0.95223,100.774121,100.298,107.138,109.748,115.659,5,1000,1000000,10000,128,133.054806,5.858701,139.355033,1065066566,1127232,4891316,16,32,300,3,1024,0,,
aggregate,ALL,erq9,erq,1,8,9,10,150,1,6826.041092,6826.041092,6826.041092,0.9696,0.9696,0.9696,146.4978,146.291,154.042,156.852,163.293,5,1000,1000000,10000,128,133.054806,5.858701,139.355033,1065066566,1127232,4891316,16,32,300,3,1024,0,,
aggregate,ALL,erq9,erq,1,8,9,10,200,1,5191.16217,5191.16217,5191.16217,0.97679,0.97679,0.97679,192.635092,192.684,201.785,205.066,213.016,5,1000,1000000,10000,128,133.054806,5.858701,139.355033,1065066566,1127232,4891316,16,32,300,3,1024,0,,
aggregate,ALL,erq9,erq,1,8,9,10,300,1,3482.357591,3482.357591,3482.357591,0.98313,0.98313,0.98313,287.161779,287.832,299.862,303.833,313.553,5,1000,1000000,10000,128,133.054806,5.858701,139.355033,1065066566,1127232,4891316,16,32,300,3,1024,0,,
aggregate,ALL,erq9,erq,1,8,9,10,400,1,2607.073497,2607.073497,2607.073497,0.98563,0.98563,0.98563,383.571848,385.019,400.77,405.631,417.041,5,1000,1000000,10000,128,133.054806,5.858701,139.355033,1065066566,1127232,4891316,16,32,300,3,1024,0,,
aggregate,ALL,erq9,erq,1,8,9,10,800,1,1236.954184,1236.954184,1236.954184,0.98821,0.98821,0.98821,808.43738,813.181,851.564,862.675,883.536,5,1000,1000000,10000,128,133.054806,5.858701,139.355033,1065066566,1127232,4891316,16,32,300,3,1024,0,,
aggregate,ALL,zsq,zsq,0,0,8,10,10,1,38692.77344,38692.77344,38692.77344,0.7444,0.7444,0.7444,25.844619,25.332,30.752,32.793,37.193,5,1000,1000000,10000,128,135.294151,1.503164,137.210137,1033072768,1092452,4859564,16,32,300,3,1024,0,,
aggregate,ALL,zsq,zsq,0,0,8,10,15,1,31146.7723,31146.7723,31146.7723,0.82896,0.82896,0.82896,32.106055,31.562,37.282,39.403,44.323,5,1000,1000000,10000,128,135.294151,1.503164,137.210137,1033072768,1094036,4859564,16,32,300,3,1024,0,,
aggregate,ALL,zsq,zsq,0,0,8,10,20,1,25638.60465,25638.60465,25638.60465,0.86627,0.86627,0.86627,39.003683,38.513,44.424,46.703,52.124,5,1000,1000000,10000,128,135.294151,1.503164,137.210137,1033072768,1094036,4859564,16,32,300,3,1024,0,,
aggregate,ALL,zsq,zsq,0,0,8,10,30,1,19331.82004,19331.82004,19331.82004,0.90317,0.90317,0.90317,51.728187,51.434,57.894,60.325,66.114,5,1000,1000000,10000,128,135.294151,1.503164,137.210137,1033072768,1094176,4859564,16,32,300,3,1024,0,,
aggregate,ALL,zsq,zsq,0,0,8,10,40,1,15424.17432,15424.17432,15424.17432,0.92137,0.92137,0.92137,64.833292,64.695,72.125,74.605,80.386,5,1000,1000000,10000,128,135.294151,1.503164,137.210137,1033072768,1094176,4859564,16,32,300,3,1024,0,,
aggregate,ALL,zsq,zsq,0,0,8,10,50,1,13038.814,13038.814,13038.814,0.93202,0.93202,0.93202,76.694092,76.825,85.187,87.827,93.547,5,1000,1000000,10000,128,135.294151,1.503164,137.210137,1033072768,1094176,4859564,16,32,300,3,1024,0,,
aggregate,ALL,zsq,zsq,0,0,8,10,75,1,9328.035927,9328.035927,9328.035927,0.94474,0.94474,0.94474,107.203704,107.739,119.159,122.459,129.129,5,1000,1000000,10000,128,135.294151,1.503164,137.210137,1033072768,1094176,4859564,16,32,300,3,1024,0,,
aggregate,ALL,zsq,zsq,0,0,8,10,100,1,7351.951113,7351.951113,7351.951113,0.94989,0.94989,0.94989,136.018315,136.91,151.851,155.582,163.092,5,1000,1000000,10000,128,135.294151,1.503164,137.210137,1033072768,1094176,4859564,16,32,300,3,1024,0,,
aggregate,ALL,zsq,zsq,0,0,8,10,150,1,5154.297074,5154.297074,5154.297074,0.95347,0.95347,0.95347,194.012876,195.475,218.186,223.837,234.027,5,1000,1000000,10000,128,135.294151,1.503164,137.210137,1033072768,1094176,4859564,16,32,300,3,1024,0,,
aggregate,ALL,zsq,zsq,0,0,8,10,200,1,4005.925037,4005.925037,4005.925037,0.95488,0.95488,0.95488,249.630233,251.809,282.211,289.672,302.833,5,1000,1000000,10000,128,135.294151,1.503164,137.210137,1033072768,1094176,4859564,16,32,300,3,1024,0,,
aggregate,ALL,zsq,zsq,0,0,8,10,300,1,2788.220883,2788.220883,2788.220883,0.95586,0.95586,0.95586,358.651643,361.308,408.751,420.102,440.093,5,1000,1000000,10000,128,135.294151,1.503164,137.210137,1033072768,1094176,4859564,16,32,300,3,1024,0,,
aggregate,ALL,zsq,zsq,0,0,8,10,400,1,2153.826855,2153.826855,2153.826855,0.95621,0.95621,0.95621,464.289874,467.025,532.34,548.131,575.133,5,1000,1000000,10000,128,135.294151,1.503164,137.210137,1033072768,1094176,4859564,16,32,300,3,1024,0,,
aggregate,ALL,zsq,zsq,0,0,8,10,800,1,1128.454613,1128.454613,1128.454613,0.95658,0.95658,0.95658,886.167674,887.357,1026.077,1061.36,1123.725,5,1000,1000000,10000,128,135.294151,1.503164,137.210137,1033072768,1094176,4859564,16,32,300,3,1024,0,,
aggregate,ALL,erq9,erq,1,8,9,100,100,1,9487.050011,9487.050011,9487.050011,0.626897,0.626897,0.626897,105.406844,105.008,111.928,114.399,120.4,5,1000,1000000,10000,128,133.054806,5.858701,139.355033,1065066566,1127232,4891316,16,32,300,3,1024,0,,
aggregate,ALL,erq9,erq,1,8,9,100,150,1,6510.711755,6510.711755,6510.711755,0.746188,0.746188,0.746188,153.593038,153.372,161.632,164.642,171.683,5,1000,1000000,10000,128,133.054806,5.858701,139.355033,1065066566,1127232,4891316,16,32,300,3,1024,0,,
aggregate,ALL,erq9,erq,1,8,9,100,200,1,5008.474153,5008.474153,5008.474153,0.815584,0.815584,0.815584,199.661607,199.795,209.376,212.816,220.997,5,1000,1000000,10000,128,133.054806,5.858701,139.355033,1065066566,1127232,4891316,16,32,300,3,1024,0,,
aggregate,ALL,erq9,erq,1,8,9,100,300,1,3383.167164,3383.167164,3383.167164,0.888482,0.888482,0.888482,295.58102,296.262,309.144,313.514,324.544,5,1000,1000000,10000,128,133.054806,5.858701,139.355033,1065066566,1127232,4891316,16,32,300,3,1024,0,,
aggregate,ALL,erq9,erq,1,8,9,100,400,1,2560.094202,2560.094202,2560.094202,0.924458,0.924458,0.924458,390.610626,392.159,408.43,413.141,424.552,5,1000,1000000,10000,128,133.054806,5.858701,139.355033,1065066566,1127232,4891316,16,32,300,3,1024,0,,
aggregate,ALL,erq9,erq,1,8,9,100,800,1,1224.91431,1224.91431,1224.91431,0.972594,0.972594,0.972594,816.383637,821.341,860.385,871.295,891.967,5,1000,1000000,10000,128,133.054806,5.858701,139.355033,1065066566,1127232,4891316,16,32,300,3,1024,0,,
aggregate,ALL,zsq,zsq,0,0,8,100,100,1,7054.97291,7054.97291,7054.97291,0.890867,0.890867,0.890867,141.743989,142.641,157.582,161.332,168.823,5,1000,1000000,10000,128,135.294151,1.503164,137.210137,1033072768,1094176,4859564,16,32,300,3,1024,0,,
aggregate,ALL,zsq,zsq,0,0,8,100,150,1,4980.625537,4980.625537,4980.625537,0.954378,0.954378,0.954378,200.777993,202.305,225.177,230.808,241.028,5,1000,1000000,10000,128,135.294151,1.503164,137.210137,1033072768,1094176,4859564,16,32,300,3,1024,0,,
aggregate,ALL,zsq,zsq,0,0,8,100,200,1,3913.887277,3913.887277,3913.887277,0.962114,0.962114,0.962114,255.50046,257.57,288.372,295.513,308.484,5,1000,1000000,10000,128,135.294151,1.503164,137.210137,1033072768,1094176,4859564,16,32,300,3,1024,0,,
aggregate,ALL,zsq,zsq,0,0,8,100,300,1,2738.19845,2738.19845,2738.19845,0.966461,0.966461,0.966461,365.203625,367.937,415.261,426.562,446.223,5,1000,1000000,10000,128,135.294151,1.503164,137.210137,1033072768,1094176,4859564,16,32,300,3,1024,0,,
aggregate,ALL,zsq,zsq,0,0,8,100,400,1,2125.005948,2125.005948,2125.005948,0.967875,0.967875,0.967875,470.586918,473.436,538.851,554.542,581.394,5,1000,1000000,10000,128,135.294151,1.503164,137.210137,1033072768,1094176,4859564,16,32,300,3,1024,0,,
aggregate,ALL,zsq,zsq,0,0,8,100,800,1,1125.997936,1125.997936,1125.997936,0.969113,0.969113,0.969113,888.101095,889.017,1025.157,1060.55,1121.775,5,1000,1000000,10000,128,135.294151,1.503164,137.210137,1033072768,1094176,4859564,16,32,300,3,1024,0,,
